contig-17217,Candida albicans
contig-23749,Candida albicans
contig-17384,Candida albicans
contig-19086,Candida albicans
contig-13221,Enterococcus faecalis
contig-28873,Candida albicans
contig-34202,Staphylococcus epidermidis
contig-2511,Staphylococcus lugdunensis
contig-7281,Candida albicans
contig-2920,Cutibacterium avidum
contig-10852,Enterococcus faecalis
contig-28030,Candida albicans
contig-24441,Enterococcus faecalis
contig-13728,Candida albicans
contig-9149,Candida albicans
contig-27044,Cutibacterium avidum
contig-17005,Candida albicans
contig-31033,Candida albicans
contig-3798,Candida albicans
contig-29143,Candida albicans
contig-31183,Candida albicans
contig-7824,Enterococcus faecalis
contig-10075,Candida albicans
contig-21541,Cutibacterium avidum
contig-11942,Cutibacterium avidum
contig-12079,Staphylococcus epidermidis
contig-30851,Cutibacterium avidum
contig-20777,Enterococcus faecalis
contig-23339,Staphylococcus aureus
contig-22766,Staphylococcus aureus
contig-24320,Enterococcus faecalis
contig-831,Staphylococcus aureus
contig-6575,Candida albicans
contig-12342,Candida albicans
contig-20662,Staphylococcus aureus
contig-14616,Candida albicans
contig-21284,Candida albicans
contig-19839,Cutibacterium avidum
contig-2606,Cutibacterium avidum
contig-10353,Staphylococcus epidermidis
contig-32991,Enterococcus faecalis
contig-10838,Candida albicans
contig-24173,Staphylococcus hominis
contig-4278,Staphylococcus aureus
contig-12120,Staphylococcus virus IPLA5
contig-6654,Candida albicans
contig-1086,Candida albicans
contig-34543,Enterococcus faecalis
contig-3246,Candida albicans
contig-12246,Candida albicans
contig-11967,Candida albicans
contig-26622,Staphylococcus epidermidis
contig-27654,Cutibacterium avidum
contig-12296,Enterococcus faecalis
contig-5899,Cutibacterium avidum
contig-10651,Staphylococcus epidermidis
contig-4152,Staphylococcus epidermidis
contig-32408,Candida albicans
contig-13216,Candida albicans
contig-17220,Candida albicans
contig-28188,Candida albicans
contig-162,Staphylococcus epidermidis
contig-19224,Candida albicans
contig-4170,Candida albicans
contig-8613,Candida albicans
contig-16606,Enterococcus faecalis
contig-7705,Cutibacterium acnes
contig-24527,Candida albicans
contig-32928,Enterococcus faecalis
contig-2537,Enterococcus faecalis
contig-13880,Staphylococcus hominis
contig-9178,Enterococcus faecalis
contig-18967,Candida albicans
contig-17755,Leuconostoc citreum
contig-24964,Staphylococcus epidermidis
contig-20467,Candida albicans
contig-30313,Candida albicans
contig-1372,Candida albicans
contig-3935,Candida albicans
contig-33229,Staphylococcus lugdunensis
contig-24206,Staphylococcus lugdunensis
contig-4433,Candida albicans
contig-32855,Candida albicans
contig-14586,Staphylococcus lugdunensis
contig-28140,Staphylococcus aureus
contig-17307,Enterococcus faecalis
contig-30625,Candida albicans
contig-31455,Enterococcus faecalis
contig-10433,Candida albicans
contig-15614,Cutibacterium avidum
contig-23181,Candida albicans
contig-6015,Candida albicans
contig-5785,Candida albicans
contig-31977,Enterococcus faecalis
contig-2732,Candida albicans
contig-13906,Enterococcus faecalis
contig-1904,Staphylococcus hominis
contig-13079,Candida albicans
contig-11609,Candida albicans
contig-31938,Staphylococcus epidermidis
contig-8918,Cutibacterium avidum
contig-12975,Staphylococcus lugdunensis
contig-10174,Candida albicans
contig-2680,Enterococcus faecalis
contig-26573,Candida albicans
contig-15284,Candida albicans
contig-9410,Enterococcus faecalis
contig-26522,Leuconostoc citreum
contig-11026,Enterococcus faecalis
contig-6730,Cutibacterium avidum
contig-26031,Candida albicans
contig-19613,Staphylococcus hominis
contig-1706,Enterococcus faecalis
